City,lat,long,Max Temp °C,Humidity %,Cloudiness %,Wind Speed,Country,Date
laguna,38.421,-121.4238,25.22,53,0,4.63,US,1663385940
mar del plata,-38.0023,-57.5575,14.49,92,0,11.18,AR,1663385940
sagaing,21.8787,95.9797,31.53,60,54,5.12,MM,1663385941
hazorasp,41.3194,61.0742,15.91,43,9,3.96,UZ,1663385942
samarai,-10.6167,150.6667,28.91,73,55,5.68,PG,1663385942
inyonga,-6.7167,32.0667,17.01,67,3,1.96,TZ,1663385942
nakhon phanom,17.3333,104.4167,26.89,73,96,3.41,TH,1663385942
champerico,14.3,-91.9167,24.88,89,99,3.91,GT,1663385942
hobart,-42.8794,147.3294,16.26,64,75,5.66,AU,1663385189
vizinga,61.0749,50.1031,9.72,90,99,3.3,RU,1663385943
flin flon,54.7682,-101.865,10.21,66,44,1.78,CA,1663385943
jamestown,42.097,-79.2353,16.8,77,0,0.0,US,1663385943
lebu,-37.6167,-73.65,7.24,92,100,7.47,CL,1663385943
kahului,20.8947,-156.47,32.01,61,0,6.17,US,1663385944
saskylakh,71.9167,114.0833,1.18,97,100,10.03,RU,1663385944
nefteyugansk,61.0998,72.6035,12.73,57,65,5.71,RU,1663385944
pacific grove,36.6177,-121.9166,17.36,83,75,4.63,US,1663385944
henties bay,-22.116,14.2845,12.94,97,52,1.53,NA,1663385944
norman wells,65.282,-126.8329,12.02,82,75,6.17,CA,1663385945
saldanha,-33.0117,17.9442,9.03,88,90,4.15,ZA,1663385945
tasiilaq,65.6145,-37.6368,3.09,97,100,4.7,GL,1663385945
hovd,48.0056,91.6419,8.7,55,83,3.46,MN,1663385945
saint-philippe,-21.3585,55.7679,19.77,82,42,6.98,RE,1663385946
koubia,11.5833,-11.9,20.19,95,100,0.64,GN,1663385946
obama,35.4958,135.746,28.31,62,99,3.03,JP,1663385946
berlevag,70.8578,29.0864,8.0,93,100,11.32,NO,1663385946
palmer,42.1584,-72.3287,14.65,85,40,1.54,US,1663385946
benghazi,32.1167,20.0667,24.65,53,0,3.24,LY,1663385947
acapulco,16.8634,-99.8901,25.9,89,100,2.06,MX,1663385947
bandarbeyla,9.4942,50.8122,26.58,70,46,11.4,SO,1663385947
port elizabeth,-33.918,25.5701,16.16,77,0,4.63,ZA,1663385947
estelle,29.8458,-90.1067,27.78,74,0,2.57,US,1663385948
georgetown,5.4112,100.3354,29.99,70,40,2.06,MY,1663385935
the valley,18.217,-63.0578,27.92,81,83,15.0,AI,1663385948
iqaluit,63.7506,-68.5145,4.85,80,100,1.54,CA,1663385948
copiapo,-27.3667,-70.3333,10.83,75,100,1.12,CL,1663385948
saint-augustin,51.226,-58.6502,8.74,72,98,9.81,CA,1663385949
nantucket,41.2835,-70.0995,17.06,67,0,2.57,US,1663385949
klaksvik,62.2266,-6.589,9.51,79,100,4.6,FO,1663385949
vuktyl,63.8567,57.3094,11.1,64,98,3.51,RU,1663385949
mahebourg,-20.4081,57.7,22.92,78,75,5.66,MU,1663385949
bluff,-46.6,168.3333,8.22,60,40,2.32,NZ,1663385950
kollo,13.3043,2.339,26.24,79,60,4.86,NE,1663385950
saint-donat-de-montcalm,46.3187,-74.2219,6.58,74,100,1.27,CA,1663385950
gillette,44.2911,-105.5022,14.47,84,100,7.2,US,1663385950
samarkand,39.6542,66.9597,18.68,37,84,6.17,UZ,1663385951
road town,18.4167,-64.6167,27.05,76,29,12.09,VG,1663385951
tura,25.5198,90.2201,27.77,78,45,2.52,IN,1663385951
koygorodok,60.445,50.9968,9.5,88,96,3.55,RU,1663385951
kalmunai,7.4167,81.8167,29.15,64,21,2.21,LK,1663385952
torbay,47.6666,-52.7314,13.65,92,40,5.14,CA,1663385952
priiskovyy,51.9333,116.6333,4.18,95,100,5.4,RU,1663385953
alindao,5.0267,21.2088,20.43,97,100,0.58,CF,1663385953
nikolskoye,59.7035,30.7861,8.94,89,89,2.82,RU,1663385953
troitskoye,52.9821,84.6757,12.77,41,4,4.0,RU,1663385954
kaitangata,-46.2817,169.8464,11.69,57,12,2.68,NZ,1663385954
aksu,41.1231,80.2644,25.35,20,95,2.32,CN,1663385871
santa luzia,-19.7697,-43.8514,19.5,72,100,4.63,BR,1663385954
andros town,24.7,-77.7667,27.98,71,57,5.89,BS,1663385954
petropavlovsk-kamchatskiy,53.0452,158.6483,14.32,44,75,6.0,RU,1663385955
guerrero negro,27.9769,-114.0611,20.83,79,0,7.11,MX,1663385955
parkes,-33.1333,148.1833,13.77,62,66,5.7,AU,1663385832
warrington,53.3925,-2.5802,9.99,79,100,2.06,GB,1663385955
salalah,17.0151,54.0924,27.05,89,75,2.06,OM,1663385955
porto novo,6.4965,2.6036,24.9,91,89,2.49,BJ,1663385956
dingle,10.9995,122.6711,30.46,68,89,5.93,PH,1663385956
ribeira grande,38.5167,-28.7,22.89,85,38,3.52,PT,1663385956
souillac,-20.5167,57.5167,21.21,78,75,5.66,MU,1663385956
sisimiut,66.9395,-53.6735,6.77,78,98,4.41,GL,1663385957
lagos,6.5833,3.75,25.18,94,94,1.42,NG,1663385928
barrow,71.2906,-156.7887,1.01,86,100,11.32,US,1663385957
dikson,73.5069,80.5464,1.09,79,22,2.97,RU,1663385957
vaini,-21.2,-175.2,26.09,83,75,2.06,TO,1663385957
leh,34.1667,77.5833,13.88,48,23,2.88,IN,1663385958
cairns,-16.9167,145.7667,35.04,60,3,3.09,AU,1663385934
celestun,20.8667,-90.4,26.16,85,37,4.6,MX,1663385958
pisco,-13.7,-76.2167,15.03,88,75,3.6,PE,1663385958
mahina,-17.5065,-149.489,27.87,57,20,1.03,PF,1663385958
kiama,-34.6833,150.8667,22.43,46,19,5.81,AU,1663385959
kodiak,57.79,-152.4072,11.73,87,100,5.14,US,1663385798
bengkulu,-3.8004,102.2655,28.69,69,71,2.73,ID,1663385959
mayumba,-3.432,10.6554,23.25,88,100,1.8,GA,1663385959
wanaka,-44.7,169.15,10.61,63,100,1.83,NZ,1663385959
jiangkou,25.4872,119.1986,30.07,59,1,3.62,CN,1663385960
noumea,-22.2763,166.4572,28.99,99,7,6.04,NC,1663385405
port blair,11.6667,92.75,26.02,94,75,1.03,IN,1663385890
ketchikan,55.3422,-131.6461,10.26,93,20,0.0,US,1663385960
nago,26.5881,127.9761,30.47,91,100,10.9,JP,1663385821
halifax,44.6453,-63.5724,14.15,58,26,12.35,CA,1663385961
hambantota,6.1241,81.1185,29.19,74,20,5.66,LK,1663385961
la ronge,55.1001,-105.2842,15.14,67,100,4.12,CA,1663385961
baghdad,33.3406,44.4009,24.95,44,0,3.6,IQ,1663385940
ponta do sol,32.6667,-17.1,23.73,72,21,4.07,PT,1663385962
villaviciosa,43.4813,-5.4357,19.53,81,96,3.44,ES,1663385962
ahuimanu,21.4447,-157.8378,25.52,91,100,2.57,US,1663385962
atasu,48.6814,71.6433,12.11,32,4,6.56,KZ,1663385962
baykit,61.67,96.37,8.45,60,92,3.28,RU,1663385963
provideniya,64.3833,-173.3,6.75,95,100,15.99,RU,1663385963
ambon,-3.6954,128.1814,28.08,78,40,1.03,ID,1663385674
isangel,-19.55,169.2667,28.06,69,75,3.09,VU,1663385963
gawler,-34.6,138.7333,16.23,78,53,10.42,AU,1663385963
bajos de haina,18.4154,-70.0332,26.23,94,20,0.0,DO,1663385964
ust-maya,60.4167,134.5333,11.7,42,7,2.6,RU,1663385964
arman,59.7,150.1667,11.68,44,11,1.77,RU,1663385964
tabou,4.423,-7.3528,24.38,86,92,4.28,CI,1663385964
grand-lahou,5.1367,-5.0242,23.23,94,97,3.05,CI,1663385965
oparino,59.8518,48.2783,8.34,93,100,3.83,RU,1663385965
nouadhibou,20.931,-17.0347,21.99,83,0,9.26,MR,1663385965
ostrovnoy,68.0531,39.5131,9.5,98,100,2.91,RU,1663385965
lazaro cardenas,17.9583,-102.2,25.71,88,90,1.68,MX,1663385965
vila franca do campo,37.7167,-25.4333,21.23,92,75,2.65,PT,1663385965
mangrol,21.1167,70.1167,27.35,73,93,4.19,IN,1663385966
hachinohe,40.5,141.5,28.82,53,11,4.2,JP,1663385966
caravelas,-17.7125,-39.2481,21.12,92,1,1.7,BR,1663385966
paamiut,61.994,-49.6678,8.11,97,100,2.07,GL,1663385966
lompoc,34.6391,-120.4579,16.63,87,75,6.17,US,1663385966
nizwa,22.9333,57.5333,35.92,13,12,0.82,OM,1663385967
victoria,22.2855,114.1577,33.87,66,4,2.24,HK,1663385756
itoman,26.1247,127.6694,30.43,82,75,12.35,JP,1663385895
samana,19.2056,-69.3369,26.37,89,99,4.98,DO,1663385967
hasaki,35.7333,140.8333,32.38,68,100,3.52,JP,1663385761
hervey bay,-25.2986,152.8535,24.45,84,89,4.02,AU,1663385786
beringovskiy,63.05,179.3167,7.66,92,100,8.5,RU,1663385968
maceio,-9.6658,-35.7353,20.69,94,20,0.0,BR,1663385968
eureka,40.8021,-124.1637,14.03,86,17,1.47,US,1663385969
touros,-5.1989,-35.4608,22.57,83,18,4.91,BR,1663385969
kalianget,-7.05,113.9333,29.39,60,53,5.87,ID,1663385970
turan,16.0678,108.2208,34.99,52,20,0.51,VN,1663385902
avrille,47.5,-0.5833,7.62,92,4,2.48,FR,1663385971
gilleleje,56.122,12.3106,13.33,83,39,6.4,DK,1663385971
hamilton,39.1834,-84.5333,21.0,85,0,0.0,US,1663385971
severo-kurilsk,50.6789,156.125,11.56,72,28,7.78,RU,1663385971
westport,41.1415,-73.3579,19.3,70,20,3.09,US,1663385972
port hardy,50.6996,-127.4199,11.1,93,100,1.03,CA,1663385972
nelson bay,-32.7167,152.15,23.89,44,18,4.47,AU,1663385972
port alfred,-33.5906,26.891,14.54,89,99,1.34,ZA,1663385972
ukiah,39.1502,-123.2078,20.94,46,0,3.6,US,1663385972
debre birhan,9.6833,39.5333,9.92,81,3,0.81,ET,1663385973
liuzhou,24.3126,109.3892,33.46,51,5,1.07,CN,1663385973
tessalit,20.1986,1.0114,29.99,39,83,5.0,ML,1663385973
omsukchan,62.5333,155.8,1.13,81,100,3.93,RU,1663385973
andenes,69.3143,16.1194,9.99,81,100,6.69,NO,1663385973
meulaboh,4.1363,96.1285,28.59,67,94,0.95,ID,1663385753
arlit,18.7369,7.3853,29.86,44,8,1.95,NE,1663385974
severo-yeniseyskiy,60.3725,93.0408,6.79,82,98,1.68,RU,1663385974
port hawkesbury,45.6169,-61.3485,10.77,88,100,7.2,CA,1663385974
thompson,55.7435,-97.8558,12.09,71,40,1.03,CA,1663385975
leningradskiy,69.3833,178.4167,2.05,99,100,7.0,RU,1663385975
mahajanga,-15.7167,46.3167,18.01,68,20,2.06,MG,1663385975
la palma,33.8464,-118.0467,23.99,78,0,3.09,US,1663385975
saint george,37.1041,-113.5841,28.13,35,0,2.57,US,1663385976
ewa beach,21.3156,-158.0072,25.65,87,100,2.57,US,1663385976
hobyo,5.3505,48.5268,25.0,81,66,9.5,SO,1663385976
katsuura,35.1333,140.3,27.93,67,100,4.65,JP,1663385960
sukhinichi,54.0999,35.3425,5.95,93,9,3.33,RU,1663385976
bonthe,7.5264,-12.505,24.53,90,100,2.02,SL,1663385977
santa marta,11.2408,-74.199,28.83,78,75,3.09,CO,1663385977
bathsheba,13.2167,-59.5167,29.34,79,40,8.75,BB,1663385978
esmeraldas,-19.7625,-44.3139,19.48,88,67,3.14,BR,1663385978
silver city,32.7701,-108.2803,22.04,36,0,4.12,US,1663385978
dunedin,-45.8742,170.5036,12.67,66,35,3.6,NZ,1663385739
iquitos,-3.7481,-73.2472,21.02,94,75,1.03,PE,1663385978
butaritari,3.0707,172.7902,28.04,68,25,6.66,KI,1663385979
raghogarh,24.45,77.2,25.3,84,50,5.79,IN,1663385979
grand gaube,-20.0064,57.6608,22.99,66,1,3.13,MU,1663385979
atar,20.5169,-13.0499,28.08,33,4,3.7,MR,1663385979
batsfjord,70.6345,29.7185,7.96,93,100,10.8,NO,1663385979
pimenta bueno,-11.6725,-61.1936,26.48,43,62,1.38,BR,1663385980
nemuro,43.3236,145.575,18.76,89,100,5.81,JP,1663385980
winnemucca,40.973,-117.7357,16.03,39,0,2.57,US,1663385980
lagoa,39.05,-27.9833,22.46,83,32,5.56,PT,1663385980
talas,38.6908,35.5538,10.37,62,0,2.06,TR,1663385980
jinka,5.65,36.65,17.91,63,60,2.01,ET,1663385981
inirida,3.8653,-67.9239,22.72,98,100,0.2,CO,1663385981
fairbanks,64.8378,-147.7164,13.5,65,75,1.54,US,1663385981
pozo colorado,-23.4923,-58.7972,15.63,48,0,2.66,PY,1663385981
khandyga,62.6667,135.6,8.42,51,100,4.18,RU,1663385981
byron bay,-28.65,153.6167,27.06,49,100,4.93,AU,1663385915
marsala,37.7966,12.4352,25.5,78,40,5.14,IT,1663385962
asau,46.4333,26.4,14.6,94,49,1.06,RO,1663385982
geraldton,-28.7667,114.6,21.23,56,40,4.12,AU,1663385982
flinders,-34.5833,150.8552,22.32,47,30,6.26,AU,1663385983
rosetta,31.4044,30.4164,23.6,72,0,1.5,EG,1663385983
langsa,4.4683,97.9683,31.32,59,86,1.95,ID,1663385983
yumen,40.2833,97.2,22.34,19,2,6.38,CN,1663385983
luza,60.6308,47.2512,9.31,92,100,4.07,RU,1663385984
jibuti,11.5,42.5,28.71,55,99,2.44,DJ,1663385984
nynashamn,58.9034,17.9479,11.2,86,99,7.21,SE,1663385984
ekhabi,53.5102,142.9671,13.71,48,67,4.02,RU,1663385984
kalabo,-14.97,22.6814,16.72,41,69,2.43,ZM,1663385985
boddam,57.4667,-1.7833,10.27,69,100,11.8,GB,1663385985
lumsden,50.6501,-104.8678,11.67,63,25,4.27,CA,1663385985
kulhudhuffushi,6.6221,73.07,27.3,73,65,3.24,MV,1663385985
calabozo,8.9242,-67.4293,23.08,96,97,1.73,VE,1663385985
airai,-8.9266,125.4092,28.12,22,61,1.67,TL,1663385986
yaan,7.3833,8.5667,21.66,97,100,1.72,NG,1663385986
carnarvon,-24.8667,113.6333,23.12,43,0,5.02,AU,1663385860
matara,5.9485,80.5353,27.6,72,86,5.01,LK,1663385987
college,64.8569,-147.8028,13.49,63,75,1.54,US,1663385987
timra,62.487,17.3257,10.93,93,75,4.63,SE,1663385987
roma,43.2128,-75.4557,13.82,93,20,0.45,US,1663385987
rio gallegos,-51.6226,-69.2181,3.03,60,75,4.12,AR,1663385988
half moon bay,37.4636,-122.4286,17.52,82,40,7.2,US,1663385988
porto santo,33.072,-16.3415,23.21,88,75,5.66,PT,1663385988
coahuayana,18.7333,-103.6833,25.17,94,100,1.47,MX,1663385988
port lavaca,28.615,-96.6261,28.32,90,0,2.06,US,1663385988
morgan city,29.6994,-91.2068,24.44,88,38,2.32,US,1663385989
strezhevoy,60.7333,77.5889,9.8,71,100,2.26,RU,1663385989
pokhara,28.2333,83.9833,20.49,97,100,0.64,NP,1663385989
les cayes,18.2,-73.75,26.37,77,6,1.1,HT,1663385989
londiani,-0.165,35.5909,10.09,88,15,1.1,KE,1663385990
erzin,36.9559,36.2,23.33,72,0,0.67,TR,1663385990
cidreira,-30.1811,-50.2056,15.58,82,1,6.35,BR,1663385991
sechura,-5.5569,-80.8222,18.18,83,24,5.04,PE,1663385991
hearst,49.6835,-83.6665,9.14,89,100,2.53,CA,1663385991
neopolis,-10.32,-36.5794,19.68,89,5,1.1,BR,1663385991
mount isa,-20.7333,139.5,31.87,15,0,4.63,AU,1663385956
punta cardon,11.6581,-70.215,28.31,79,99,8.44,VE,1663385992
rapid valley,44.0625,-103.1463,15.96,91,75,3.13,US,1663385992
vicuna,-30.0319,-70.7081,8.85,71,100,0.53,CL,1663385992
coquimbo,-29.9533,-71.3436,12.85,76,100,2.06,CL,1663385992
taoudenni,22.6783,-3.9836,31.02,18,0,4.82,ML,1663385993
namibe,-15.1961,12.1522,18.6,89,78,2.14,AO,1663385993
tanabe,33.7333,135.3667,27.56,89,75,3.09,JP,1663385993
korla,41.7597,86.1469,24.47,17,9,2.73,CN,1663385994
villarrica,-25.75,-56.4333,14.89,63,0,2.21,PY,1663385994
vardo,70.3705,31.1107,8.99,93,100,12.35,NO,1663385994
narsaq,60.9167,-46.05,14.12,69,100,7.62,GL,1663385994
coihaique,-45.5752,-72.0662,-0.66,86,0,2.06,CL,1663385994
dukat,62.55,155.55,0.18,75,100,6.7,RU,1663385995
yar-sale,66.8333,70.8333,11.25,67,100,5.22,RU,1663385996
craigieburn,-37.6,144.95,12.52,75,75,7.72,AU,1663385702
douentza,14.9951,-2.9517,27.08,60,10,2.96,ML,1663385996
mareeba,-17.0,145.4333,32.47,45,3,3.39,AU,1663385996
gejiu,23.306,103.1635,17.54,84,80,1.99,CN,1663385996
chicama,-7.8447,-79.1469,15.3,83,39,2.29,PE,1663385997
new norfolk,-42.7826,147.0587,16.07,69,100,0.45,AU,1663385997
lethem,3.3803,-59.7968,26.08,72,54,1.02,GY,1663385997
los llanos de aridane,28.6585,-17.9182,21.86,77,0,4.12,ES,1663385997
wicklow,53.0,-6.4167,5.6,90,21,1.76,IE,1663385998
rocha,-34.4833,-54.3333,11.32,85,38,4.74,UY,1663385998
encruzilhada,-15.5314,-40.9094,15.87,97,1,1.82,BR,1663385998
muroto,33.2833,134.15,27.18,89,100,11.64,JP,1663385899
cherskiy,68.75,161.3,4.01,65,94,7.87,RU,1663385999
dharchula,29.85,80.5333,25.19,71,67,1.89,IN,1663385999
faanui,-16.4833,-151.75,25.5,73,51,9.68,PF,1663385999
cabo san lucas,22.8909,-109.9124,30.03,75,1,1.34,MX,1663385999
great yarmouth,52.6083,1.7305,10.53,72,78,9.79,GB,1663386000
kavieng,-2.5744,150.7967,29.4,63,26,5.29,PG,1663386000
antofagasta,-23.65,-70.4,13.6,86,22,0.71,CL,1663386000
keningau,5.3378,116.1602,31.97,52,98,0.49,MY,1663385808
kluang,2.0251,103.3328,31.08,59,67,2.23,MY,1663385709
encruzilhada do sul,-30.5439,-52.5219,10.24,82,0,3.51,BR,1663386000
pevek,69.7008,170.3133,1.97,78,100,7.63,RU,1663386001
kozachi laheri,46.7037,32.9776,17.21,79,77,3.58,UA,1663386001
yarada,17.65,83.2667,30.18,79,40,4.63,IN,1663386001
itarema,-2.9248,-39.9167,25.26,79,30,6.75,BR,1663386001
lucapa,-8.4192,20.7447,20.31,72,89,1.53,AO,1663386002
pangkalanbuun,-2.6833,111.6167,27.86,79,100,0.91,ID,1663386002
chokurdakh,70.6333,147.9167,3.42,65,93,0.84,RU,1663386002
harrison,30.4091,-89.0436,26.03,88,0,2.06,US,1663386003
zhanakorgan,43.9098,67.2495,23.57,16,11,1.47,KZ,1663386003
fortuna,40.5982,-124.1573,13.88,82,39,1.23,US,1663386003
mackay,-21.15,149.2,25.24,76,5,6.18,AU,1663385847
pangnirtung,66.1451,-65.7125,4.68,73,100,2.4,CA,1663386003
salinopolis,-0.6136,-47.3561,26.05,82,76,4.69,BR,1663386004
paramirim,-13.4425,-42.2389,21.25,51,3,1.65,BR,1663386004
lorengau,-2.0226,147.2712,29.99,61,61,4.42,PG,1663386004
raudeberg,61.9875,5.1352,9.37,1,100,14.5,NO,1663386004
marzuq,14.4,46.4667,27.67,30,98,1.93,YE,1663386004
bafoulabe,13.8065,-10.8321,23.1,91,100,0.47,ML,1663386005
aneho,6.2333,1.6,24.11,89,83,4.22,TG,1663386006
novyy urengoy,66.0833,76.6333,10.14,75,100,4.56,RU,1663386006
okha,53.5739,142.9478,13.44,51,57,4.09,RU,1663386006
praia da vitoria,38.7333,-27.0667,22.14,83,20,3.83,PT,1663386006
qarqin,37.4185,66.0436,25.04,15,4,1.55,AF,1663386007
ulkan,57.243,107.3223,12.13,45,89,3.74,RU,1663386007
san patricio,28.017,-97.5169,29.38,72,26,3.91,US,1663386007
ahipara,-35.1667,173.1667,14.15,54,80,2.67,NZ,1663386008
sao joao da barra,-21.6403,-41.0511,17.52,90,100,4.08,BR,1663386008
cayenne,4.9333,-52.3333,24.02,94,0,0.0,GF,1663386008
kieta,-6.2167,155.6333,29.25,65,97,2.39,PG,1663386008
ippy,6.2679,21.2247,19.49,97,98,0.44,CF,1663386009
longyearbyen,78.2186,15.6401,-3.38,91,68,2.04,SJ,1663386009
alofi,-19.0595,-169.9187,27.94,61,0,4.12,NU,1663386009
rio grande,-32.035,-52.0986,14.41,84,0,7.29,BR,1663386009
gobabis,-22.45,18.9667,14.14,20,5,1.61,NA,1663386008
eyl,7.9803,49.8164,26.08,68,23,9.02,SO,1663386010
bestobe,52.4994,73.0975,12.36,39,6,4.68,KZ,1663386010
ovsyanka,55.9575,92.5519,9.57,50,95,1.88,RU,1663386010
tiarei,-17.5333,-149.3333,28.01,65,14,10.39,PF,1663386010
chuy,-33.6971,-53.4616,13.13,81,2,4.51,UY,1663386011
udachnyy,66.4167,112.4,0.25,80,100,10.37,RU,1663386013
san pedro,14.35,121.0167,31.29,66,75,4.63,PH,1663386013
vila,42.0304,-8.1588,12.49,92,99,1.81,PT,1663386014
galle,6.0367,80.217,27.28,76,91,5.1,LK,1663386012
big rapids,43.6981,-85.4837,17.27,98,100,0.0,US,1663386014
gornopravdinsk,60.05,69.9,11.98,61,99,3.65,RU,1663386014
sao filipe,14.8961,-24.4956,25.38,83,15,3.28,CV,1663386014
broome,42.2506,-75.833,15.92,79,100,2.06,US,1663386015
thinadhoo,0.5333,72.9333,27.65,67,76,1.74,MV,1663386015
boa vista,2.8197,-60.6733,27.99,65,20,0.51,BR,1663385943
grand forks,47.9417,-97.4337,13.96,94,100,2.06,US,1663386015
shaunavon,49.6501,-108.4181,13.88,78,98,2.49,CA,1663386015
yanam,16.7333,82.2167,30.72,63,99,3.96,IN,1663386016
belmonte,-15.8631,-38.8828,21.51,84,0,2.05,BR,1663386016
dongkan,33.9997,119.8308,25.72,74,90,4.67,CN,1663386016
tuy hoa,13.0833,109.3,32.94,54,84,4.13,VN,1663385981
tuatapere,-46.1333,167.6833,12.08,52,100,1.81,NZ,1663386016
kudahuvadhoo,2.6708,72.8944,27.51,65,16,1.49,MV,1663386017
eten,-6.9081,-79.8642,17.61,87,100,5.94,PE,1663386017
kalmar,56.6616,16.3616,11.65,87,100,3.09,SE,1663385929
bangkalan,-7.0455,112.7351,30.97,55,26,1.2,ID,1663386018
sao gabriel,-30.3364,-54.32,12.7,80,2,6.93,BR,1663386018
bousse,12.6606,-1.8922,22.02,88,21,3.26,BF,1663386018
aswan,24.0934,32.907,24.61,35,0,3.09,EG,1663385983
kantang,7.4054,99.5156,31.66,99,40,2.57,TH,1663386019
harqalah,36.0303,10.509,24.92,73,0,2.57,TN,1663386019
ancud,-41.8697,-73.8203,2.9,78,58,3.2,CL,1663386019
sangar,63.9242,127.4739,4.35,97,100,1.35,RU,1663386020
cessnock,-32.8333,151.35,23.41,42,42,5.54,AU,1663385810
mandalgovi,45.7625,106.2708,9.17,45,7,5.6,MN,1663386020
esperance,-33.8667,121.9,17.0,60,27,6.85,AU,1663385946
linxia,35.6003,103.2064,18.24,60,97,0.97,CN,1663386020
dandong,40.1292,124.3947,22.06,85,98,1.51,CN,1663385760
bayanday,53.0661,105.5139,11.55,34,28,4.38,RU,1663386021
sistranda,63.7256,8.834,10.98,83,100,9.64,NO,1663386021
dudinka,69.4058,86.1778,0.9,65,100,2.8,RU,1663386021
comodoro rivadavia,-45.8667,-67.5,6.92,57,0,3.6,AR,1663386021
verin,41.9415,-7.4381,16.42,79,93,0.86,ES,1663386022
margate,51.3813,1.3862,10.94,75,77,4.02,GB,1663386022
tocopilla,-22.092,-70.1979,14.62,61,2,1.54,CL,1663386022
charters towers,-20.1,146.2667,33.56,27,7,2.23,AU,1663386022
sarankhola,22.3082,89.7897,30.97,71,45,1.74,BD,1663386022
mangai,-4.05,19.5333,20.46,96,100,0.89,CD,1663386023
kapoeta,4.7717,33.5903,22.45,73,11,1.02,SS,1663386023
kaputa,-8.4689,29.6619,21.13,52,20,1.75,ZM,1663386023
pontal do parana,-25.6533,-48.5128,15.16,85,17,2.09,BR,1663386023
chapais,49.7834,-74.8492,4.88,79,4,0.91,CA,1663386023
